iter	Passed	Remaining
398	270964	747698
399	271650	747039
400	272156	745884
401	272886	745347
402	273629	744841
403	274351	744280
404	275048	743648
405	275782	743117
406	276504	742555
407	277166	741827
408	277874	741226
409	278488	740371
410	279199	739776
411	279908	739175
412	280707	738810
413	281488	738397
414	282222	737859
415	282918	737221
416	283464	736191
417	284191	735634
418	284993	735270
419	285727	734726
420	286440	734130
421	287102	733405
422	287859	732919
423	288646	732509
424	289376	731952
425	290045	731241
426	290739	730593
427	291387	729830
428	292096	729219
429	292705	728359
430	293416	727754
431	294089	727055
432	294781	726401
433	295400	725569
434	296049	724811
435	296703	724065
436	297393	723407
437	298050	722669
438	298698	721910
439	299406	721298
440	300043	720512
441	300725	719835
442	301435	719225
443	302086	718476
444	302750	717755
445	303391	716984
446	303997	716129
447	304595	715255
448	305186	714367
449	305989	713974
450	306694	713354
451	307433	712811
452	308117	712139
453	308814	711497
454	309498	710825
455	310243	710294
456	310908	709578
457	311572	708861
458	312268	708216
459	312977	707601
460	313669	706947
461	314396	706372
462	315095	705731
463	315750	704994
464	316405	704256
465	317174	703773
466	318023	703466
467	318851	703107
468	319565	702499
469	320313	701964
470	321002	701299
471	321722	700700
472	322465	700152
473	323154	699485
474	323832	698795
475	324542	698175
476	325255	697559
477	325918	696837
478	326584	696121
479	327340	695598
480	328018	694907
481	328740	694310
482	329413	693610
483	329915	692550
484	330663	692007
485	331436	691516
486	332129	690856
487	332778	690105
488	333572	689656
489	334354	689179
490	335134	688697
491	335944	688275
492	336518	687371
493	337125	686535
494	337738	685710
495	338435	685058
496	339214	684572
497	340041	684179
498	340731	683511
499	341466	682932
500	342143	682238
501	342908	681718
502	343677	681204
503	344495	680788
504	345272	680289
505	346040	679770
506	346796	679228
507	347559	678699
508	348368	678257
509	349137	677737
510	349843	677094
511	350708	676757
512	351608	676486
513	352553	676299
514	353292	675715
515	354037	675141
516	354824	674646
517	355492	673925
518	356205	673289
519	357007	672822
520	357696	672139
521	358545	671757
522	359228	671063
523	360060	670647
524	360833	670119
525	361618	669613
526	362417	669130
527	363136	668500
528	363811	667790
529	364540	667177
530	365301	666623
531	366018	665988
532	366804	665479
533	367664	665101
534	368347	664402
535	369027	663698
536	369914	663366
537	370663	662785
538	371370	662127
539	372045	661414
540	372742	660739
541	373376	659952
542	374182	659470
543	374857	658757
544	375568	658105
545	376279	657455
546	376903	656652
547	377607	655989
548	378419	655512
549	379082	654779
550	379830	654191
551	380549	653553
552	381260	652899
553	382006	652307
554	382780	651761
555	383540	651191
556	384264	650559
557	384951	649864
558	385649	649188
559	386403	648606
560	387052	647847
561	387822	647291
562	388521	646615
563	389170	645858
564	389796	645062
565	390534	644450
566	391279	643851
567	391993	643200
568	392705	642546
569	393431	641913
570	394196	641345
571	395066	640946
572	395757	640257
573	396483	639623
574	397150	638893
575	397882	638269
576	398668	637731
577	399479	637232
578	400221	636621
579	400977	636032
580	401637	635292
581	402611	635047
582	403365	634452
583	404148	633904
584	404824	633187
585	405581	632596
586	406326	631987
587	407189	631559
588	408002	631052
589	408744	630437
590	409527	629882
591	410303	629317
592	411095	628774
593	411963	628348
594	412848	627945
595	413636	627394
596	414510	626973
597	415398	626570
598	416395	626330
599	417231	625847
600	417954	625193
601	418739	624631
602	419504	624039
603	420323	623525
604	421092	622939
605	421809	622273
606	422595	621709
607	423325	621063
608	424069	620436
609	424929	619979
610	425729	619432
611	426439	618755
612	427185	618130
613	427904	617465
614	428647	616834
615	429445	616282
616	430200	615668
617	430788	614814
618	431485	614118
619	432223	613478
620	433010	612908
621	433851	612414
622	434568	611744
623	435303	611098
624	435992	610389
625	436707	609716
626	437491	609138
627	438200	608457
628	438934	607808
629	439590	607053
630	440301	606374
631	440976	605645
632	441732	605026
633	442442	604346
634	443140	603648
635	443857	602975
636	444528	602242
637	445156	601450
638	445945	600874
639	446777	600357
640	447505	599699
641	448113	598881
642	448823	598198
643	449532	597515
644	450254	596848
645	451012	596230
646	451730	595558
647	452525	594987
648	453283	594367
649	454018	593716
650	454816	593147
651	455481	592406
652	456393	591983
653	457042	591219
654	458238	591162
655	458916	590434
656	459905	590107
657	460654	589469
658	461254	588641
659	461893	587864
660	462508	587056
661	463204	586352
662	463832	585562
663	464566	584906
664	465171	584087
665	465865	583380
666	466419	582499
667	466927	581561
668	467492	580696
669	467992	579751
670	468534	578860
671	469094	577991
672	469467	576893
673	469961	575947
674	470491	575044
675	471069	574202
676	471674	573394
677	472316	572631
678	472894	571791
679	473486	570969
680	474102	570176
681	474656	569309
682	475159	568382
683	475791	567610
684	476529	566965
685	477220	566264
686	477782	565410
687	478396	564619
688	479461	564358
689	480398	563945
690	481291	563480
691	481901	562682
692	482520	561896
693	483091	561054
694	483683	560237
695	484226	559365
696	484739	558459
697	485259	557561
698	485772	556657
699	486277	555745
700	486817	554874
701	487329	553973
702	487828	553057
703	488478	552313
704	489110	551550
705	489632	550663
706	490140	549761
707	490719	548940
708	491281	548100
709	491892	547316
710	492507	546537
711	493087	545719
712	493586	544814
713	494101	543926
714	494514	542928
715	495024	542037
716	495555	541171
717	496039	540255
718	496596	539418
719	497150	538580
720	497655	537689
721	498148	536785
722	498692	535939
723	499227	535083
724	499744	534209
725	500272	533348
726	500804	532492
727	501314	531613
728	501804	530714
729	502247	529767
730	502745	528879
731	503324	528077
732	503880	527253
733	504425	526417
734	504954	525565
735	505489	524719
736	506001	523852
737	506570	523044
738	507190	522289
739	507773	521497
740	508314	520662
741	508891	519864
742	509812	519418
743	510695	518932
744	511348	518212
745	512068	517559
746	513092	517214
747	513792	516540
748	514593	515967
749	515255	515255
750	515942	514568
751	516631	513882
752	517274	513152
753	517918	512423
754	518550	511682
755	519149	510908
756	519805	510192
757	520436	509450
758	521190	508829
759	521851	508118
760	522594	507486
761	523327	506844
762	523870	506019
763	524358	505141
764	524881	504298
765	525396	503447
766	525879	502568
767	526616	501931
768	527317	501260
769	527915	500491
770	528508	499717
771	529135	498977
772	529637	498119
773	530188	497308
774	530739	496498
775	531291	495689
776	531851	494888
777	532332	494015
778	532837	493165
779	533304	492280
780	533853	491473
781	534406	490669
782	535007	489911
783	535529	489080
784	536025	488226
785	536494	487349
786	536993	486501
787	537479	485641
788	537978	484794
789	538449	483922
790	538939	483069
791	539545	482321
792	540080	481509
793	540598	480682
794	541139	479878
795	541687	479080
796	542173	478228
797	542677	477393
798	543209	476583
799	543761	475791
800	544167	474872
801	544701	474067
802	545246	473271
803	545795	472479
804	546340	471685
805	546835	470848
806	547345	470025
807	547904	469245
808	548361	468377
809	548846	467535
810	549283	466654
811	549797	465838
812	550299	465012
813	550823	464207
814	551347	463402
815	551900	462622
816	552350	461757
817	552814	460903
818	553353	460114
819	553909	459339
820	554429	458535
821	554913	457702
822	555450	456913
823	555928	456077
824	556453	455279
825	556892	454413
826	557423	453622
827	557903	452791
828	558467	452028
829	558957	451206
830	559470	450404
831	560025	449636
832	560611	448893
833	561160	448120
834	561648	447300
835	562162	446502
836	562693	445717
837	563221	444931
838	563751	444147
839	564292	443372
840	564874	442630
841	565359	441812
842	566002	441119
843	566529	440335
844	567067	439561
845	567597	438781
846	568112	437989
847	568590	437170
848	569192	436447
849	569683	435640
850	570281	434914
851	570889	434197
852	571447	433442
853	571898	432606
854	572467	431861
855	572977	431071
856	573455	430258
857	573967	429472
858	574468	428677
859	574957	427875
860	575475	427095
861	575839	426201
862	576318	425393
863	576793	424584
864	577251	423762
865	577814	423019
866	578291	422212
867	578818	421443
868	579284	420630
869	579755	419822
870	580283	419056
871	580731	418232
872	581242	417456
873	581804	416715
874	582361	415972
875	582884	415205
876	583408	414439
877	583919	413665
878	584447	412902
879	584940	412116
880	585416	411319
881	585951	410564
882	586377	409734
883	586894	408967
884	587395	408190
885	587881	407403
886	588378	406624
887	588904	405866
888	589414	405098
889	589965	404358
890	590441	403567
891	590912	402774
892	591350	401959
893	591823	401168
894	592272	400363
895	592775	399594
896	593274	398823
897	593782	398059
898	594328	397320
899	594825	396550
900	595339	395791
901	595851	395032
902	596353	394267
903	596850	393499
904	597336	392724
905	597834	391957
906	598374	391219
907	598926	390489
908	599409	389714
909	599903	388948
910	600435	388206
911	600978	387473
912	601508	386731
913	602078	386015
914	602610	385275
915	603502	384765
916	604432	384279
917	605351	383785
918	606293	383303
919	607458	382963
920	608451	382511
921	609266	381947
922	610087	381387
923	610900	380821
924	611677	380231
925	612351	379578
926	613038	378933
927	613773	378317
928	614531	377715
929	615208	377063
930	616103	376544
931	616902	375966
932	617656	375360
933	618554	374841
934	619428	374307
935	620199	373710
936	620913	373078
937	621594	372426
938	622372	371832
939	623035	371169
940	623757	370542
941	624516	369936
942	625251	369316
943	626015	368712
944	626694	368058
945	627344	367388
946	628126	366793
947	628951	366224
948	629780	365657
949	630513	365034
950	631231	364401
951	632015	363807
952	632924	363284
953	633673	362668
954	634397	362038
955	635160	361430
956	635944	360833
957	636778	360265
958	637691	359740
959	638417	359109
960	639157	358487
961	640020	357932
962	640793	357327
963	641559	356717
964	642260	356072
965	643002	355448
966	643782	354846
967	644629	354279
968	645447	353697
969	646301	353133
970	647079	352528
971	647994	351996
972	648802	351407
973	649483	350747
974	650321	350173
975	651134	349584
976	651835	348935
977	652632	348337
978	653417	347732
979	654294	347176
980	655091	346577
981	655868	345967
982	656642	345355
983	657406	344737
984	658160	344114
985	658999	343535
986	659762	342916
987	660551	342310
988	661233	341648
989	661980	341020
990	662706	340381
991	663548	339801
992	664331	339190
993	665104	338574
